Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 Superhands,CleanTech,"B2B, B2C, B2B2C",12,€ 44.9K,€ 240.1K,2014
 H2Electro,CleanTech,B2B,7,€ 44.4K,€ 26.3K,2021
 Up Catalyst,CleanTech,B2B,18,€ 44.3K,€ 136.7K,2019
 Vegvisir,Advanced Manufacturing & Industry,"B2B, B2G",5,€ 44K,€ 60.2K,2021
 Airobot,CleanTech,"B2B, B2C",8,€ 43.7K,€ 388.9K,2021
 99math,EdTech,"B2C, B2B2C",7,€ 43.7K,-,2019
 Nevercode,Business software & HR,B2B,8,€ 43K,€ 150.6K,2015
 Guardarian OU,FinTech,"B2B, B2C, B2B2C",9,€ 42.5K,€ 349.6K,2017
 Resys,FinTech,-,7,€ 41.6K,€ 272.1K,2016
 Dashbird,Business software & HR,-,5,€ 40.3K,€ 173K,2017
 Ringo,CleanTech,B2B2C,28,€ 39.7K,€ 105K,2020
 SoftComply,"HealthTech, Life sciences & Wellness",B2B,7,€ 39.6K,€ 148.9K,2016
 Machineric,Business software & HR,B2B,8,€ 39.5K,€ 29.1K,2020
 Vok Bikes,Transportation & Logistics,"B2B, B2B2C",23,€ 39.1K,€ 189.1K,2019
 Mediamodifier,AdTech & Creative Tech,"B2B, B2C, B2B2C",11,€ 39K,€ 137.3K,2019
 Soulie,Communication,B2C,7,€ 39K,€ 5.1K,2017
 Scanbro,Advanced Manufacturing & Industry,B2B,5,€ 38.2K,€ 42.9K,2017
 Wert,FinTech,"B2B, B2B2C",6,€ 38K,-,2020
 Respiray,"HealthTech, Life sciences & Wellness","B2B, B2C",7,€ 37.9K,€ 154.2K,2020
 PARSIQ,FinTech,"B2B, B2C",9,€ 37.8K,€ 594.1K,2018
 Miros,Communication,B2B,8,€ 37.7K,€ 238.2K,2019
 NEXD,AdTech & Creative Tech,"B2B, B2B2C",17,€ 37.6K,€ 517K,2015
 CARGOSON,Business software & HR,B2B,10,€ 37.5K,€ 136.6K,2018
 TEXTA OÜ,Communication,"B2B, B2G",6,€ 37.4K,€ 26.8K,2016
 Supersimple,Business software & HR,B2B,4,€ 37.4K,€ 5.5K,2022
 HIGH MOBILITY,Transportation & Logistics,B2B2C,6,€ 37.3K,€ 107.1K,2013
 Better Medicine,"HealthTech, Life sciences & Wellness","B2B, B2G",9,€ 37.1K,€ 30.1K,2020
 Laava Tech,AgTech & FoodTech,"B2B, B2C",3,€ 37K,€ 44.1K,2015
 REBELROAM OÜ,CyberTech,"B2B, B2B2C",8,€ 36.9K,€ 802.3K,2015
 Praktikal,EdTech,"B2B, B2G, B2C",14,€ 36.9K,€ 26.4K,2021
 self-driving ELM...,Transportation & Logistics,"B2B, B2C, B2B2C",23,€ 36.7K,€ 232.1K,2017
 FleetFox,CleanTech,B2B,9,€ 36.4K,€ 129.8K,2017
 Striga,FinTech,B2B2C,5,€ 36.2K,€ 165.2K,2021
 SPACEDRIP,CleanTech,B2B,9,€ 36.1K,€ 76.5K,2020
 Autobahn,Transportation & Logistics,"B2B, B2B2C",3,€ 35.7K,€ 113.7K,2013
 10Lines,Advanced Manufacturing & Industry,B2B,6,€ 35.4K,€ 15.2K,2019
 Gratitude Servic...,Consumer products and services,"B2B, B2C",16,€ 35.4K,€ 139.4K,2019
 Thinnect,Communication,B2B,9,€ 34.8K,€ 79.1K,2015
 Paywerk,FinTech,"B2B, B2C, B2B2C",2,€ 34.6K,€ 58.4K,2021
 Wois,Communication,"B2B, B2C",5,€ 34.4K,€ 84.4K,2021
 Coursy.io,Business software & HR,"B2B, B2G, B2B2C",7,€ 34.2K,€ 142.2K,2019
 Advapay,FinTech,B2B,4,€ 34K,-,2019
 Allies,Business software & HR,B2B,4,€ 33.5K,€ 101.5K,2018
 Rexplorer,CleanTech,"B2B, B2G",5,€ 33.4K,€ 15.9K,2020
 PRNEWS.IO,AdTech & Creative Tech,"B2B, B2B2C",9,€ 33.3K,€ 830.2K,2018
 Autlo OÜ,Transportation & Logistics,B2B2C,10,€ 33.2K,€ 172K,2013
 Income,FinTech,"B2B, B2C",5,€ 32.8K,€ 37.2K,2020
 Siffi,"HealthTech, Life sciences & Wellness","B2B, B2B2C",11,€ 32.8K,€ 178.8K,2019
 RAIKU,CleanTech,B2B,8,€ 32.7K,€ 3.4K,2021
 BLE Locking,Consumer products and services,"B2B, B2C, B2B2C",7,€ 32.5K,€ 54.3K,2018
 Envelope.,AdTech & Creative Tech,B2B,7,€ 31.4K,€ 5.5K,2020
 Companio,Business software & HR,B2B,5,€ 31.3K,€ 478.9K,2018
 Cocone,Gaming,B2C,1,€ 31.2K,€ 1.1K,2022
 Single.Earth,CleanTech,B2B,7,€ 30.8K,€ 20.6K,2019
 AYREN,-,"B2B, B2B2B, B2G, B2C, B2B2C",19,€ 30.8K,€ 508.2K,2023
 Dermtest OÜ,"HealthTech, Life sciences & Wellness","B2B, B2G, B2B2C",9,€ 30.8K,€ 34.2K,2013
 Patchstack,CyberTech,B2B,5,€ 30.3K,€ 352.7K,2017
 Mothership,FinTech,"B2B, B2C",2,€ 29.4K,€ 120.5K,2017
 Dexatel,Communication,"B2B, B2B2C",5,€ 29.1K,€ 5.3M,2015
 Crowdestate,FinTech,"B2B, B2C",3,€ 29.1K,€ 169.7K,2019
 Scalacube,Gaming,B2C,5,€ 28.8K,€ 2M,2019
 Fitlap OÜ,"HealthTech, Life sciences & Wellness",B2C,7,€ 28.4K,€ 173K,2015
 Waybiller OÜ,Advanced Manufacturing & Industry,B2B,6,€ 28K,€ 64.7K,2017
 Supervisely,Business software & HR,B2B,4,€ 28K,€ 313.5K,2020
 PRFCT,Communication,B2B,2,€ 26.5K,€ 3.5K,2021
 Elsavie,"HealthTech, Life sciences & Wellness","B2B, B2C",12,€ 26.1K,€ 115.7K,2020
 PDF Generator AP...,Business software & HR,B2B,3,€ 25.9K,€ 222.9K,2012
 Saunum,Consumer products and services,B2C,1,€ 25.7K,€ 4.4K,2014
 Lydian,AdTech & Creative Tech,"B2B, B2B2C",8,€ 25.6K,€ 56.7K,2018
 Mifundo,FinTech,B2B2C,3,€ 25.2K,€ 6.5K,2018
 YuMuuv,"HealthTech, Life sciences & Wellness","B2B, B2B2C",2,€ 25.2K,€ 140.4K,2019
 eID Easy,CyberTech,"B2B, B2B2C",4,€ 25.1K,€ 94.1K,2016
 RunProperty.com,PropTech & Construction,B2B,9,€ 25K,€ 21.5K,2021
 Moderan Solution...,PropTech & Construction,B2B,6,€ 24.8K,€ 107.7K,2015
 Cloud Factory,Advanced Manufacturing & Industry,"B2B, B2B2C",7,€ 24.7K,€ 24.8K,2017
 GPO,CleanTech,"B2B, B2C, B2B2C",6,€ 24.7K,€ 16.7K,2020
 Sentinel dVPN,CyberTech,B2C,3,€ 24.4K,€ 119.2K,2021
 Marduk Technolog...,SpaceTech,"B2B, B2G",8,€ 24K,€ 24.9K,2016
 Reverse Resource...,CleanTech,B2B,4,€ 23.9K,€ 131.8K,2014
 Salu,"HealthTech, Life sciences & Wellness","B2C, B2B2C",8,€ 23.8K,€ 50.5K,2021
 Mentornaut,EdTech,B2C,13,€ 23.7K,€ 12.8K,2020
 KrattWorks,CleanTech,"B2B, B2G",16,€ 23K,€ 183.3K,2018
 Relancer,Business software & HR,B2B,3,€ 22.9K,€ 22.4K,2020
 Parcelfellow,Transportation & Logistics,B2B2C,13,€ 22.6K,€ 297.3K,2014
 Migrevention,"HealthTech, Life sciences & Wellness","B2B, B2C, B2B2C",6,€ 22.2K,-,2020
 Exponaut,AdTech & Creative Tech,B2B,6,€ 22.1K,€ 110.4K,2020
 Clanbeat,EdTech,"B2B, B2G",11,€ 21.7K,€ 46.4K,2018
 GIG-A,FinTech,"B2C, B2B2C",-,€ 21K,€ 22.5K,2021
 Grab2Go,Consumer products and services,"B2B, B2C",1,€ 20.7K,€ 4.1K,2020
 SPEAKLY,EdTech,"B2B, B2C",5,€ 20.6K,€ 343.9K,2018
 Fairmus,Consumer products and services,B2B2C,3,€ 20.6K,€ 6.7K,2020
 ÄIO,AgTech & FoodTech,B2B,7,€ 20.3K,€ 10.8K,2022
 Rephop,FinTech,B2B,2,€ 20K,€ 52.9K,2013
 Hausing,PropTech & Construction,"B2B, B2C, B2B2C",6,€ 19.8K,€ 35.4K,2017
 QDO,Business software & HR,B2B,5,€ 19.7K,€ 72.2K,2019
 Digital Sputnik,AdTech & Creative Tech,"B2B, B2C",6,€ 19.6K,€ 27.8K,2014
 Envoice,FinTech,B2B,7,€ 19.6K,€ 133.7K,2014
 5.0 Robotics,Advanced Manufacturing & Industry,B2B2C,1,€ 19.4K,€ 165K,2020
 Traxnet,AdTech & Creative Tech,-,1,€ 19.2K,-,2018
 Creatomus Soluti...,PropTech & Construction,"B2B, B2G",4,€ 19.1K,€ 110.1K,2015
 Investly,FinTech,B2B,4,€ 19K,€ 75.2K,2014
 Happy Helper,Consumer products and services,B2B2C,-,€ 19K,€ 3.4K,2022
 CostPocket,FinTech,B2B,5,€ 18.7K,€ 159.3K,2016
 Levercode,CyberTech,-,2,€ 18.5K,€ 314.6K,2012
 Rapidworks,Advanced Manufacturing & Industry,B2B,-,€ 18.2K,€ 294,2022
 CUPLOOP,CleanTech,"B2B, B2B2C",6,€ 17.7K,€ 47.6K,2018
 Edumus,EdTech,B2B,5,€ 17.4K,-,2020
 ExtendLaw OÜ,Business software & HR,B2B,5,€ 17.4K,€ 151K,2016
 Wayren,CyberTech,B2B,3,€ 17.1K,€ 5.2K,2020
 Leil Storage,Business software & HR,B2B,5,€ 17K,€ 1.5M,2022
 Eliis,EdTech,"B2B, B2G, B2C",6,€ 16.9K,€ 89.6K,2013
 Workbite.ee,Business software & HR,"B2B, B2C, B2B2C",156,€ 16.7K,€ 79.2K,2021
 InstaComm,Business software & HR,B2B,4,€ 16.7K,€ 2.1M,2019
 Vespia,CyberTech,B2B,1,€ 16.7K,€ 34.8K,2020
 ParcelSea,Transportation & Logistics,"B2B, B2C, B2B2C",2,€ 16.6K,€ 44.7K,2020
 Hygify,"HealthTech, Life sciences & Wellness","B2B, B2B2C",5,€ 16.3K,€ 50.7K,2018
 Quantfall,CyberTech,B2B,3,€ 16.3K,€ 79K,2021
 Futuclass,EdTech,"B2G, B2C, B2B2C",3,€ 16.1K,€ 17.1K,2019
 Themo,CleanTech,B2B,4,€ 15.7K,€ 94.9K,2014
 Kriptomat,FinTech,B2C,3,€ 15.4K,€ 260K,2018
 FleetGuru,Business software & HR,B2B,1,€ 15.3K,€ 53K,2020
 ALPA Kids,EdTech,"B2B, B2G, B2C",6,€ 15.3K,€ 50.2K,2018
 Advendor,AdTech & Creative Tech,-,-,€ 15.3K,€ 9.6K,2014
 hi.com,FinTech,"B2B, B2C, B2B2C",-,€ 15.2K,€ 132.1K,2020
 Fienta,AdTech & Creative Tech,"B2B, B2C",4,€ 15K,€ 267.6K,2014
 Digiotouch,Business software & HR,"B2B, B2C, B2B2C",-,€ 14.8K,€ 1.8K,2018
 InfraFly,Business software & HR,B2B,3,€ 14.6K,€ 5.3K,2017
 VeeRa,FinTech,"B2B, B2B2B, B2G",4,€ 14.4K,€ 102.1K,2016
 Botguard,CyberTech,B2B,2,€ 14.3K,€ 112.3K,2019
 Fundvest,FinTech,"B2C, B2B2C",5,€ 14.1K,€ 17.1K,2020
 NeuraKinesis,"HealthTech, Life sciences & Wellness","B2B, C2C",4,€ 14K,€ 191.2K,2017
 Vocal Image,EdTech,B2C,-,€ 13.9K,€ 528K,2021
 FitQ OÜ,"HealthTech, Life sciences & Wellness",B2C,4,€ 13.7K,€ 3.1K,2020
 AdoptoMedia,AdTech & Creative Tech,B2B,6,€ 13.7K,€ 39.5K,2017
 Hundred5,Business software & HR,-,3,€ 13.6K,€ 318.9K,2017
 Formaloo,Business software & HR,B2B,6,€ 13.6K,€ 29.1K,2020
 Synbase,"HealthTech, Life sciences & Wellness","B2B, B2G",3,€ 13.2K,€ 1.3M,2016
 Bacca,Business software & HR,"B2B, B2G, B2B2C",3,€ 13.1K,€ 143.3K,2018
 HUGO.legal,Business software & HR,"B2B, C2C",6,€ 13K,€ 196.1K,2015
 Narayana,CyberTech,"B2B, B2C",4,€ 12.9K,€ 62K,2015
 LANDEX,FinTech,"B2B, B2C",-,€ 12.9K,-,2021
 Cerebrum Hub,EdTech,B2C,5,€ 12.9K,€ 68.4K,2022
 Hoovi,FinTech,B2B,3,€ 12.8K,€ 51.8K,2018
 Bladestorm,Gaming,B2C,1,€ 12.8K,€ 69.3K,2020
 ProBit Exchange,FinTech,"B2B, B2C",3,€ 12.7K,€ 35K,2020
 Adact,AdTech & Creative Tech,B2B,4,€ 12.7K,€ 47.3K,2019
 Biometric OÜ,"HealthTech, Life sciences & Wellness","B2B, B2C",2,€ 12.6K,€ 127.9K,2016
 Fleep,Business software & HR,-,-,€ 12.6K,€ 31.1K,2012
 Calidity,CleanTech,B2B,8,€ 12.4K,€ 57.5K,2016
 Cake Print,Consumer products and services,"B2B, B2C",-,€ 11.8K,€ 21.2K,2018
 Devolon,FinTech,"B2B, B2C",2,€ 11.7K,€ 319.4K,2014
 Moticheck,Business software & HR,B2B,2,€ 11.5K,€ 22.3K,2021
 Worksup,AdTech & Creative Tech,"B2B, B2G",3,€ 11.3K,€ 20.3K,2018
 Promoty,AdTech & Creative Tech,B2B,5,€ 11.2K,€ 488.6K,2017
 Myceen,CleanTech,"B2B, B2C",4,€ 11.1K,€ 1.7K,2021
 ElecZap,Business software & HR,"B2B, B2B2C",2,€ 11.1K,€ 122K,2021
 CTF Tech,CyberTech,"B2B, B2G, B2C",17,€ 11K,€ 1.3K,2020
